date;Earray(kWh/day);EOutInv(kWh/day)
01/01/1990;836,86;824,76
02/01/1990;659,13;648,19
03/01/1990;442,81;432,84
04/01/1990;530,93;520,41
05/01/1990;563,23;552,68
06/01/1990;549,09;538,15
07/01/1990;899,28;886,98
08/01/1990;471,14;460,83
09/01/1990;502,31;493,29
10/01/1990;593,24;583,44
11/01/1990;755,11;743,65
12/01/1990;550,68;541,88
13/01/1990;637,03;626,69
14/01/1990;794,06;782,85
15/01/1990;1007,4;993,99
16/01/1990;1023,3;1009,8
17/01/1990;1005,1;991,65
18/01/1990;1014,7;1001,8
19/01/1990;1016,3;1002,6
20/01/1990;873,6;861,47
21/01/1990;958,96;947,07
22/01/1990;995,77;983,06
23/01/1990;1003,2;990,53
24/01/1990;988,71;976,16
25/01/1990;977,42;964,96
26/01/1990;885;872,93
27/01/1990;944,31;932,23
28/01/1990;768,47;756,85
29/01/1990;696,55;685,49
30/01/1990;468,16;458,78
31/01/1990;471,45;461,91
01/02/1990;994,64;981,9
02/02/1990;913,52;901,5
03/02/1990;989,88;977,07
04/02/1990;813,41;802,08
05/02/1990;980,11;967,63
06/02/1990;983,68;971,17
07/02/1990;1031,4;1018,4
08/02/1990;797,41;785,96
09/02/1990;880,67;868,49
10/02/1990;771,39;759,52
11/02/1990;797,27;786,06
12/02/1990;706,38;695,4
13/02/1990;498,68;488,87
14/02/1990;654,88;644,59
15/02/1990;519,55;510,09
16/02/1990;492,39;482,33
17/02/1990;728,98;718,05
18/02/1990;544,22;534,56
19/02/1990;622,14;612,02
20/02/1990;676,88;666,59
21/02/1990;475,97;466,43
22/02/1990;729,94;718,98
23/02/1990;831,11;819,45
24/02/1990;891,49;879,48
25/02/1990;430,74;421,65
26/02/1990;987,16;974,49
27/02/1990;1015,6;1002,7
28/02/1990;609,87;600,13
01/03/1990;498,13;489,38
02/03/1990;617,59;607,98
03/03/1990;840,99;829,84
04/03/1990;962,94;951,14
05/03/1990;555,02;546,03
06/03/1990;928,45;916,37
07/03/1990;998,21;985,49
08/03/1990;993,61;981,61
09/03/1990;961,61;949,04
10/03/1990;886,12;874,34
11/03/1990;899,94;887,74
12/03/1990;969,63;957,12
13/03/1990;955,32;943
14/03/1990;892;880,72
15/03/1990;875,05;863,06
16/03/1990;910,18;898,28
17/03/1990;796,35;786,03
18/03/1990;676,16;665,89
19/03/1990;592;582,23
20/03/1990;418,53;409,49
21/03/1990;825,11;814,22
22/03/1990;854,6;842,93
23/03/1990;891,62;879,77
24/03/1990;973,57;961,5
25/03/1990;894,57;882,44
26/03/1990;905,15;893,11
27/03/1990;797,63;786,94
28/03/1990;757,93;747,15
29/03/1990;726,45;715,41
30/03/1990;590,88;581,43
31/03/1990;885,67;874,44
01/04/1990;784,95;773,72
02/04/1990;707,5;696,42
03/04/1990;956,23;943,76
04/04/1990;993,13;980,31
05/04/1990;1002,5;989,6
06/04/1990;961,47;948,9
